Method,Cohort,Score_Threshold,Samples,Genes_Used,AUC,CI_low,CI_high
KC_ML,GSE81622,5,40,9,0.92,0.818,0.984
ML,GSE81622,5,40,8,0.912,0.808,0.982
KC_ML,GSE81622,4,40,20,0.851,0.725,0.951
ML,GSE81622,4,40,20,0.861,0.731,0.961
KC_ML,GSE81622,3,40,27,0.837,0.702,0.943
ML,GSE81622,3,40,43,0.853,0.722,0.954
KC_ML,GSE81622,2,40,57,0.859,0.736,0.956
ML,GSE81622,2,40,83,0.813,0.661,0.937
KC_ML,GSE81622,1,40,135,0.816,0.661,0.938
ML,GSE81622,1,40,203,0.763,0.581,0.916
KC_ML,GSE61635,5,129,9,0.961,0.925,0.988
ML,GSE61635,5,129,8,0.938,0.892,0.973
KC_ML,GSE61635,4,129,20,0.944,0.901,0.978
ML,GSE61635,4,129,20,0.932,0.884,0.971
KC_ML,GSE61635,3,129,27,0.947,0.903,0.98
ML,GSE61635,3,129,42,0.927,0.876,0.966
KC_ML,GSE61635,2,129,56,0.941,0.897,0.978
ML,GSE61635,2,129,81,0.86,0.795,0.914
KC_ML,GSE61635,1,129,133,0.839,0.772,0.899
ML,GSE61635,1,129,202,0.82,0.746,0.885
