Cohort,Method,Score_Threshold,AUC,Genes_Used
GSE81622,KC-ML,5,0.92,9
GSE81622,KC-ML,4,0.851,20
GSE81622,KC-ML,3,0.837,27
GSE81622,KC-ML,2,0.859,57
GSE81622,KC-ML,1,0.816,135
GSE81622,Equal-ML,5,0.912,8
GSE81622,Equal-ML,4,0.861,20
GSE81622,Equal-ML,3,0.853,43
GSE81622,Equal-ML,2,0.813,83
GSE81622,Equal-ML,1,0.763,203
GSE61635,KC-ML,5,0.961,9
GSE61635,KC-ML,4,0.944,20
GSE61635,KC-ML,3,0.947,27
GSE61635,KC-ML,2,0.941,56
GSE61635,KC-ML,1,0.839,133
GSE61635,Equal-ML,5,0.938,8
GSE61635,Equal-ML,4,0.932,20
GSE61635,Equal-ML,3,0.927,42
GSE61635,Equal-ML,2,0.86,81
GSE61635,Equal-ML,1,0.82,202
