Sample,Group
GSM1509709,0
GSM1509710,0
GSM1509711,0
GSM1509712,0
GSM1509713,0
GSM1509714,0
GSM1509715,0
GSM1509716,0
GSM1509717,0
GSM1509718,0
GSM1509719,0
GSM1509720,0
GSM1509721,0
GSM1509722,0
GSM1509723,0
GSM1509724,0
GSM1509725,0
GSM1509726,0
GSM1509727,0
GSM1509728,0
GSM1509729,0
GSM1509730,0
GSM1509731,0
GSM1509732,0
GSM1509733,0
GSM1509734,0
GSM1509735,0
GSM1509736,0
GSM1509737,0
GSM1509738,0
GSM1509610,1
GSM1509611,1
GSM1509612,1
GSM1509613,1
GSM1509614,1
GSM1509615,1
GSM1509616,1
GSM1509617,1
GSM1509618,1
GSM1509619,1
GSM1509620,1
GSM1509621,1
GSM1509622,1
GSM1509623,1
GSM1509624,1
GSM1509625,1
GSM1509626,1
GSM1509627,1
GSM1509628,1
GSM1509629,1
GSM1509630,1
GSM1509631,1
GSM1509632,1
GSM1509633,1
GSM1509634,1
GSM1509635,1
GSM1509636,1
GSM1509637,1
GSM1509638,1
GSM1509639,1
GSM1509640,1
GSM1509641,1
GSM1509642,1
GSM1509643,1
GSM1509644,1
GSM1509645,1
GSM1509646,1
GSM1509647,1
GSM1509648,1
GSM1509649,1
GSM1509650,1
GSM1509651,1
GSM1509652,1
GSM1509653,1
GSM1509654,1
GSM1509655,1
GSM1509656,1
GSM1509657,1
GSM1509658,1
GSM1509659,1
GSM1509660,1
GSM1509661,1
GSM1509662,1
GSM1509663,1
GSM1509664,1
GSM1509665,1
GSM1509666,1
GSM1509667,1
GSM1509668,1
GSM1509669,1
GSM1509670,1
GSM1509671,1
GSM1509672,1
GSM1509673,1
GSM1509674,1
GSM1509675,1
GSM1509676,1
GSM1509677,1
GSM1509678,1
GSM1509679,1
GSM1509680,1
GSM1509681,1
GSM1509682,1
GSM1509683,1
GSM1509684,1
GSM1509685,1
GSM1509686,1
GSM1509687,1
GSM1509688,1
GSM1509689,1
GSM1509690,1
GSM1509691,1
GSM1509692,1
GSM1509693,1
GSM1509694,1
GSM1509695,1
GSM1509696,1
GSM1509697,1
GSM1509698,1
GSM1509699,1
GSM1509700,1
GSM1509701,1
GSM1509702,1
GSM1509703,1
GSM1509704,1
GSM1509705,1
GSM1509706,1
GSM1509707,1
GSM1509708,1
