"","GSM2159829","GSM2159830","GSM2159831","GSM2159832","GSM2159833","GSM2159834","GSM2159835","GSM2159836","GSM2159837","GSM2159838","GSM2159839","GSM2159840","GSM2159841","GSM2159842","GSM2159843","GSM2159844","GSM2159845","GSM2159846","GSM2159847","GSM2159848","GSM2159849","GSM2159850","GSM2159851","GSM2159852","GSM2159853","GSM2159854","GSM2159855","GSM2159856","GSM2159857","GSM2159858","GSM2159859","GSM2159860","GSM2159861","GSM2159862","GSM2159863","GSM2159864","GSM2159865","GSM2159866","GSM2159867","GSM2159868"
"EEF1A1",11.31023643,11.30280123,11.22910679,11.2653336,11.39506577,11.27797522,11.35268047,11.23150427,11.14611897,11.2002179,11.42554338,11.29584533,11.37568572,11.4425536,11.35403119,11.34034948,11.39877836,11.25612899,11.39201801,11.28515207,11.38973843,11.39941602,11.43458505,11.48084973,11.5538036,11.15030865,11.01778472,11.4272535,11.20683994,11.55323307,11.49927551,11.29316364,11.44492387,11.50591564,11.50531345,11.5224589,11.52611649,11.49540211,11.48940191,11.46154535
"GAPDH",10.22235716,10.08516022,10.55233226,10.4419907,10.46358169,10.50779394,10.31077546,10.67497226,10.75131176,10.50318463,10.42720705,11.25323629,10.73863552,10.70652257,10.64591992,10.60186532,10.41031595,10.78428863,10.61905998,11.60291496,10.86373855,10.90505414,10.87847475,10.73260975,10.64908129,11.00507486,11.01496816,11.30377083,11.22013284,11.27009275,11.37163747,11.02528239,11.27108647,11.10485025,10.65536655,11.03526707,11.2746328,11.19727642,11.28080676,10.92844465
"RPS28",12.7974137,13.05298636,12.89982729,12.79402334,13.04741613,13.15937261,12.953637,13.1161307,13.26785398,13.57962163,13.03375101,12.90240727,13.01032705,13.02528722,13.10938098,13.15940154,12.96673341,13.02196924,13.00595804,13.04884029,13.40124001,13.13212141,13.00168766,12.9366457,13.20679273,13.07199871,13.10082947,13.10480629,12.87787928,12.43053434,13.0919964,13.00799937,13.01749061,13.01550182,12.55232819,13.05078779,12.79200112,12.70836237,13.27066914,12.71495601
"IPO13",7.704664079,7.949059209,7.900017371,8.041167471,7.74168922,7.7777353,7.868065439,7.792810191,8.016113561,8.169093819,8.066514909,8.28948405,8.10318642,7.84887049,8.230399176,7.751596848,7.853558741,7.742573956,8.240716861,8.435097501,7.992714541,8.373025039,7.895428294,7.900732026,7.70584933,7.815336947,7.938618152,8.003453781,7.935672054,8.054310463,8.197486859,8.299626427,7.784515142,7.487704372,7.735415918,8.038301525,7.670432687,8.043405137,8.097415316,7.713305486
"AFAP1",7.351913695,7.454137979,7.265813602,7.536111555,7.298884721,7.350835783,7.488704534,7.118135844,7.402341885,7.750302428,7.304859884,7.207518695,7.120913062,7.416584302,7.282278277,7.184078886,7.325967532,7.365118576,7.565383506,7.234772005,7.316379941,7.281727147,7.2685913,7.310788114,7.284803081,7.214388936,7.166942078,7.220478547,7.22473465,7.181350328,7.100309714,7.042866906,7.307655664,7.114588987,7.263426161,7.196741793,7.139246238,7.20145283,7.451904935,7.602512246
"CDT1",7.224040941,7.434498129,7.263534054,7.100897528,8.158567929,7.368499366,7.154203809,8.101539481,7.155008781,7.075485976,6.947054116,7.294168505,7.017545216,7.075903701,6.860326068,6.925638052,7.002493583,7.147904151,7.148404068,7.680371697,7.09172743,6.99502553,7.229652782,7.023679827,6.984299921,7.440171856,8.142135331,7.211938402,7.548813167,8.311064269,7.920866368,7.21892399,7.19988157,8.030743199,7.141077086,7.491081194,7.621680319,6.976688318,7.219374972,7.033242859
"LPP",10.42209321,10.32077757,10.12315251,10.41638885,10.09345553,9.914689871,10.52536438,9.916098501,10.99451425,10.81273713,10.34269542,10.20964158,10.2317713,10.269315,10.42595952,10.51350351,10.53019984,10.23352394,10.56525382,9.674162463,9.922086604,10.34725898,10.11874431,10.4490936,10.27884485,9.645670962,9.473707124,10.10858963,10.16195231,9.930703581,9.966031758,10.29086712,10.27219531,10.43129656,10.30623367,9.876655633,9.887740753,9.846133125,9.787939695,10.4873087
"UGP2",8.60580641,8.448776241,8.494108657,8.517207717,8.64086851,8.466701672,8.497455593,8.557992963,8.868562939,8.802153085,8.591244828,8.719578072,8.609974768,8.670577796,8.554216597,8.743907428,8.639294037,8.442362172,8.521183513,8.391111838,8.535281228,8.528636219,8.604473527,8.642920229,8.58342454,8.315710824,8.337908023,8.739590336,8.635491626,8.581236041,8.591285995,8.35449933,8.627066761,8.729133327,8.63660871,8.617195843,8.713864779,8.756573964,8.617068839,8.638250612
"HNRNPAB",9.820252174,9.974706283,9.799286044,9.937052332,10.45033552,10.16940624,10.0176004,10.3023322,9.542072639,9.631054146,9.85615401,9.738545001,9.710631283,9.997804806,9.989135658,9.941295786,9.929017981,10.18199986,10.01496156,10.26485769,9.834034766,9.50651002,9.708128601,9.715730367,9.577979746,10.18632263,10.26164996,9.829450844,10.43807571,10.2493567,9.927364758,10.12596114,9.917930152,10.19902013,9.479690374,10.03523764,9.833556834,9.425990915,9.820397442,9.48032378
"SNIP1",9.391639283,9.579004923,9.250116471,9.116828158,9.27464931,9.002514634,9.215334722,9.182201402,9.105586419,9.48829648,8.954885789,8.640527222,8.864003632,8.882429953,8.83605121,9.059871144,9.089247867,8.71527026,8.97218429,8.85864776,9.020061265,9.349446225,9.156357681,9.234445036,9.273419844,8.657111115,8.962571001,9.020061265,9.161519154,8.813229329,8.81592043,8.788660128,8.84808319,9.046386558,9.145262213,8.70002793,8.753651033,8.266916505,9.454022451,9.374179424
"HMG20B",9.415914332,9.739508244,10.25396918,9.724369235,9.613642518,9.636527652,9.733917614,9.626130085,8.44011325,8.644392386,9.315689622,9.536120136,9.275296945,9.232409654,9.211681242,9.222821221,9.684289444,9.843464937,9.616532303,9.438708906,9.275296945,9.087504742,9.473966669,9.614039682,9.273737797,9.791661232,10.00180224,9.084220297,8.992458019,9.77138993,9.579421731,9.587614958,9.885597852,9.575351854,9.676885139,9.230873788,9.50735582,10.60776398,9.713493575,10.03267944
"CD69",10.30606012,10.15851597,9.111300055,9.481955541,9.912082335,9.466595778,9.987241993,9.753694246,10.9738045,9.968071955,9.573335013,9.559829365,9.813102862,9.641698334,9.632421188,9.450677606,9.962625223,9.077641915,9.940743619,9.798207731,10.33886974,10.7683379,11.05129552,10.49753271,11.06320996,10.18533839,9.843901112,9.558635208,9.759107049,10.21266875,9.262242233,9.605935754,10.94143692,10.40778212,9.598065842,10.57778549,11.39887617,11.18763757,10.23274606,11.19568919
"MLYCD",7.805444663,7.713143327,7.736260924,7.601147042,7.650638895,7.630723009,7.641654519,7.714829447,7.668585535,7.525893502,7.604303993,7.427127292,7.348238891,7.477269165,7.518016896,7.627445526,7.581038517,7.632170759,7.523977712,7.200066521,7.240964437,7.277171988,7.277503402,7.333026069,7.234784987,7.656704593,7.605557703,7.715139961,7.757547477,7.450350349,7.427712366,7.283578007,7.255752084,7.323975432,7.45581911,7.393248597,7.45448768,7.246258406,7.271027344,7.231574141
"BLTP3B",7.458356034,7.369029052,7.429407853,7.434488063,7.249398241,7.408677114,7.388404876,7.30134043,7.654106982,7.507776247,7.361365661,7.469498396,7.549947896,7.47412663,7.382096687,7.485873582,7.454001848,7.438804146,7.509703394,7.701443863,7.491023378,7.631302766,7.422765395,7.584487353,7.612102706,7.573325801,7.347818936,7.776916677,7.513521714,7.490562166,7.371783769,7.47535008,7.741077355,7.505507434,7.564187178,7.393842387,7.695846008,7.573991024,7.495402138,7.632881973
"NOC2LP2",7.095073719,7.385091173,7.105812037,7.303684322,7.091380741,7.318413396,7.296027755,7.316243759,7.261365256,6.970174304,7.20457262,7.276826746,7.302120744,7.20492759,7.240785019,7.346339382,7.245136808,7.214627746,7.386511367,7.447433504,7.235511256,7.220833691,7.289864957,7.30232977,7.212139947,7.222047884,7.072346762,7.311830369,7.466054891,7.313363741,7.411816527,7.336288322,7.332798811,7.180457192,7.252017807,7.358054861,7.358527525,7.144884904,7.331216155,7.222481838
"SERTAD2",10.95813942,10.93827623,10.9904614,10.98931289,10.89324312,11.06047168,10.59204865,10.6392792,10.59204865,11.07792791,10.6737004,10.33794073,10.37968052,10.67540578,10.54494705,10.65170919,10.67086688,10.49549831,10.78634233,10.51963134,10.78775322,10.8477472,10.58769033,10.77074565,11.04697664,11.12367525,10.8016243,10.29763508,10.38568879,10.71547129,10.48555966,10.73407788,10.80237742,10.46021833,10.368286,10.26685446,10.3164637,10.29395323,11.01661192,10.76487574
"TMA7",8.354537139,8.391592819,8.336393435,8.341831507,8.682306512,8.682371838,8.486076008,8.657950678,9.032382128,8.941033728,8.639399262,8.632189416,8.534248147,8.621627251,8.501195474,8.636871474,8.495004274,8.572820848,8.568228809,8.477157232,8.842769626,8.569961957,8.624897546,8.568464029,8.73245132,8.514972973,8.499420903,8.737807648,8.767677399,8.500931872,8.562262192,8.474893124,8.534158584,8.684190596,8.343475903,8.480139674,8.477447018,8.6885412,8.868643523,8.507283015
"USP21",7.727525834,7.74548142,7.715052463,7.780074082,7.776736732,7.74998959,7.765655702,7.738492793,7.483110766,7.443212669,7.710583944,7.672752359,7.693129512,7.722111131,7.781465754,7.609590739,7.635814735,7.734941597,7.644795562,7.930181844,7.849222963,7.746662505,7.696661725,7.66530509,7.637594372,7.838062739,7.844971479,7.413333613,7.517021929,7.7542166,7.726939611,7.913861704,7.663302223,7.488017662,7.617439113,7.857713864,7.539721715,7.568987624,7.747713982,7.522408857
"AUP1",9.012749669,8.838660937,9.080841772,9.039441117,9.043066393,8.925838945,9.013649564,8.890997586,9.003207836,9.190237298,9.338265508,9.275647073,9.270888403,8.964941216,9.251390568,9.188294095,9.280683324,9.009312737,9.267465806,10.44839098,9.59966258,9.559359499,9.371153483,9.414908651,9.421570043,8.980045585,9.186159811,9.10986695,8.945471051,9.135950613,9.669252523,9.335201854,9.715062298,9.39374181,9.396656366,9.234998684,9.570893216,9.782913053,9.774275603,9.453699674
