Gene,Consensus_Score,Selection_Frequency,External_Weight,Weighted_Consensus_Score
FCGR1BP,6,1.0,2,12
IFI27,6,1.0,3,18
CASP8,5,0.8333333333333334,3,15
ISG15,5,0.8333333333333334,4,20
GADD45B,5,0.8333333333333334,2,10
SMARCD3,5,0.8333333333333334,2,10
FUT4,5,0.8333333333333334,2,10
MX1,5,0.8333333333333334,4,20
USP7,5,0.8333333333333334,3,15
RSAD2,4,0.6666666666666666,4,16
SRSF4,4,0.6666666666666666,1,4
SOCS1,4,0.6666666666666666,2,8
IFI6,4,0.6666666666666666,3,12
LY6E,4,0.6666666666666666,2,8
EPSTI1,4,0.6666666666666666,1,4
ABCB1,4,0.6666666666666666,1,4
IFITM3,4,0.6666666666666666,3,12
OAS3,4,0.6666666666666666,4,16
HERC5,4,0.6666666666666666,2,8
LAMP3,4,0.6666666666666666,2,8
REC8,3,0.5,1,3
PLEKHA1,3,0.5,2,6
GPR84,3,0.5,2,6
IFIT1,3,0.5,3,9
IFI44,3,0.5,2,6
JAK1,3,0.5,3,9
OASL,3,0.5,3,9
WDR59,2,0.3333333333333333,3,6
IFIH1,2,0.3333333333333333,4,8
HNRNPH1,2,0.3333333333333333,1,2
IFI44L,2,0.3333333333333333,2,4
IL2RB,2,0.3333333333333333,3,6
GSTO1,2,0.3333333333333333,2,4
TNFAIP6,2,0.3333333333333333,2,4
NFKBIA,2,0.3333333333333333,3,6
TLR10,2,0.3333333333333333,2,4
KLRB1,2,0.3333333333333333,2,4
TNFAIP3,2,0.3333333333333333,3,6
IRF7,2,0.3333333333333333,4,8
PTTG1,2,0.3333333333333333,3,6
HP,2,0.3333333333333333,2,4
USP18,2,0.3333333333333333,3,6
LGALS1,2,0.3333333333333333,2,4
GNG5,2,0.3333333333333333,1,2
RNF125,2,0.3333333333333333,2,4
RNASE2,2,0.3333333333333333,2,4
F12,2,0.3333333333333333,1,2
HNRNPDL,2,0.3333333333333333,1,2
BATF2,2,0.3333333333333333,2,4
SH2D1B,2,0.3333333333333333,2,4
IFI35,2,0.3333333333333333,3,6
FYN,2,0.3333333333333333,2,4
TXNDC17,2,0.3333333333333333,2,4
FCRL2,2,0.3333333333333333,1,2
RNF31,2,0.3333333333333333,2,4
IFI27L2,2,0.3333333333333333,1,2
PTMS,2,0.3333333333333333,1,2
MT2A,2,0.3333333333333333,1,2
EIF3D,1,0.16666666666666666,2,2
ROMO1,1,0.16666666666666666,2,2
