Gene,MDA
BCL11A,0.0007575757575757125
IFI27,0.0006313131313130827
EGR1,0.0005050505050505194
SERPING1,0.0004419191919191712
IFITM3,0.00044191919191914896
PIK3C2B,0.00037878787878786735
RFWD3,0.00037878787878786735
SOCS1,0.00037878787878786735
FCRL2,0.00037878787878785624
OAF,0.00037878787878785624
IFI44,0.00031565656565657463
IFI6,0.0003156565656565524
FUT4,0.00031565656565654134
OAS3,0.0002525252525252597
RNASE2,0.0002525252525252486
CD63,0.0002525252525252486
LY6E,0.0002525252525252486
RBM14,0.0002525252525252375
RUBCNL,0.0002525252525252375
REC8,0.00018939393939392256
HNRNPH1,0.00012626262626264095
DESI1,0.00012626262626261875
ASGR1,0.00012626262626261875
PLEKHA1,0.00012626262626261875
ABLIM1,0.00012626262626261875
TNFAIP3,0.00012626262626260764
IFI35,0.00012626262626260764
ISG15,0.00012626262626260764
LAMP3,0.00012626262626260764
EXOSC4,6.313131313133713e-05
TNFAIP6,6.313131313131492e-05
ZNF83,6.313131313131492e-05
SASH1,6.313131313130382e-05
HBQ1,6.313131313130382e-05
ZNF91,6.313131313130382e-05
HERC5,6.313131313129272e-05
SLPI,6.661338147750939e-17
MT2A,3.3306690738754695e-17
SLC35F6,3.3306690738754695e-17
TLE4,3.3306690738754695e-17
FCER1A,3.3306690738754695e-17
SIGLEC9,3.3306690738754695e-17
MED13L,3.3306690738754695e-17
CD163,3.3306690738754695e-17
PTGDS,3.3306690738754695e-17
IFIT5,3.3306690738754695e-17
MIAT,2.2204460492503132e-17
TMEM181,2.2204460492503132e-17
ZNFX1,2.2204460492503132e-17
ITPK1,2.2204460492503132e-17
CD160,2.2204460492503132e-17
ENO2,2.2204460492503132e-17
TMED1,2.2204460492503132e-17
SLC26A8,2.2204460492503132e-17
IFI27L2,2.2204460492503132e-17
NIBAN3,2.2204460492503132e-17
HLA-DRA,2.2204460492503132e-17
SCRN1,2.2204460492503132e-17
ADGRG1,2.2204460492503132e-17
TAGAP,2.2204460492503132e-17
KCNJ15,1.1102230246251566e-17
CD14,1.1102230246251566e-17
CERK,1.1102230246251566e-17
TLR2,1.1102230246251566e-17
CIR1,1.1102230246251566e-17
TIMM10,1.1102230246251566e-17
PTMS,1.1102230246251566e-17
PTGDR,1.1102230246251566e-17
IFIT3,1.1102230246251566e-17
IFIT2,1.1102230246251566e-17
DYRK2,1.1102230246251566e-17
IFIH1,1.1102230246251566e-17
CXCR6,1.1102230246251566e-17
DCAF8,1.1102230246251566e-17
SLC4A7,1.1102230246251566e-17
PRC1,1.1102230246251566e-17
PNISR,1.1102230246251566e-17
SMIM24,1.1102230246251566e-17
TOR1A,1.1102230246251566e-17
ZDHHC8,1.1102230246251566e-17
USP18,1.1102230246251566e-17
BLOC1S1,1.1102230246251566e-17
NFKBIA,1.1102230246251566e-17
LTB4R,1.1102230246251566e-17
YPEL1,1.1102230246251566e-17
ATXN7L3B,1.1102230246251566e-17
NCL,1.1102230246251566e-17
ASB1,1.1102230246251566e-17
NOP10,1.1102230246251566e-17
ARG1,1.1102230246251566e-17
MYD88,1.1102230246251566e-17
MYBL1,1.1102230246251566e-17
GNLY,1.1102230246251566e-17
RNF125,1.1102230246251566e-17
GADD45A,1.1102230246251566e-17
ADM,1.1102230246251566e-17
BRSK1,1.1102230246251566e-17
LOC374443,1.1102230246251566e-17
LCN2,1.1102230246251566e-17
NPHP3,1.1102230246251566e-17
C1QC,1.1102230246251566e-17
C3AR1,1.1102230246251566e-17
TRIM25,1.1102230246251566e-17
KIAA0319L,1.1102230246251566e-17
KIAA1958,1.1102230246251566e-17
OAS1,1.1102230246251566e-17
H2BC5,1.1102230246251566e-17
LGALS1,1.1102230246251566e-17
PYHIN1,0.0
RAB11FIP4,0.0
PSG9,0.0
RNASE3,0.0
PRTN3,0.0
RNF122,0.0
PRSS23,0.0
RNF31,0.0
ROMO1,0.0
RELB,0.0
RETN,0.0
RNASE2CP,0.0
QSOX1,0.0
RGL4,0.0
RMI2,0.0
RING1,0.0
QARS1,0.0
RIN2,0.0
RILPL2,0.0
RETSAT,0.0
REV1,0.0
RAB32,0.0
RIGI,0.0
PTTG1,0.0
ABCA1,0.0
PHOSPHO1,0.0
PRKCQ-AS1,0.0
NAA38,0.0
NUSAP1,0.0
NSMCE2,0.0
NSG1,0.0
NQO2,0.0
NPRL3,0.0
NPRL2,0.0
NMI,0.0
NKTR,0.0
NFIL3,0.0
NEXN,0.0
NEU1,0.0
NAA10,0.0
OGT,0.0
MYL9,0.0
MYL6B,0.0
MYDGF,0.0
MYB,0.0
MX2,0.0
MVD,0.0
MTARC1,0.0
MT1F,0.0
MT1E,0.0
MRPS26,0.0
MRPL20-AS1,0.0
OAS2,0.0
OLFM4,0.0
PRDX4,0.0
PIK3IP1,0.0
PRAG1,0.0
PPTC7,0.0
PPP1R3E,0.0
PPP1R3D,0.0
PPP1R2,0.0
POLM,0.0
PNN,0.0
PLSCR1,0.0
PLEKHO2,0.0
PLBD1,0.0
PLAUR,0.0
PHPT1,0.0
OSCAR,0.0
