Gene,Final_Weight,Calculation_Details
IFI27,6.0,Base:1.0 + Bio:2.0(Raw:2) + ML:3.0(Raw:6)
MX1,5.5,Base:1.0 + Bio:3.0(Raw:3) + ML:1.5(Raw:3)
OAS3,5.5,Base:1.0 + Bio:3.0(Raw:3) + ML:1.5(Raw:3)
ISG15,5.5,Base:1.0 + Bio:3.0(Raw:3) + ML:1.5(Raw:3)
SERPING1,5.0,Base:1.0 + Bio:2.0(Raw:2) + ML:2.0(Raw:4)
IFI6,5.0,Base:1.0 + Bio:2.0(Raw:2) + ML:2.0(Raw:4)
IFITM3,5.0,Base:1.0 + Bio:2.0(Raw:2) + ML:2.0(Raw:4)
RSAD2,4.5,Base:1.0 + Bio:3.0(Raw:3) + ML:0.5(Raw:1)
USP7,4.5,Base:1.0 + Bio:2.0(Raw:2) + ML:1.5(Raw:3)
IFI44,4.5,Base:1.0 + Bio:1.0(Raw:1) + ML:2.5(Raw:5)
HERC5,4.5,Base:1.0 + Bio:1.0(Raw:1) + ML:2.5(Raw:5)
OAS1,4.5,Base:1.0 + Bio:3.0(Raw:3) + ML:0.5(Raw:1)
TNFAIP3,4.5,Base:1.0 + Bio:2.0(Raw:2) + ML:1.5(Raw:3)
EIF2AK2,4.5,Base:1.0 + Bio:3.0(Raw:3) + ML:0.5(Raw:1)
IFIH1,4.5,Base:1.0 + Bio:3.0(Raw:3) + ML:0.5(Raw:1)
PLEKHA1,4.5,Base:1.0 + Bio:1.0(Raw:1) + ML:2.5(Raw:5)
FCGR1BP,4.5,Base:1.0 + Bio:1.0(Raw:1) + ML:2.5(Raw:5)
CASP8,4.5,Base:1.0 + Bio:2.0(Raw:2) + ML:1.5(Raw:3)
IRF7,4.5,Base:1.0 + Bio:3.0(Raw:3) + ML:0.5(Raw:1)
CAMP,4.0,Base:1.0 + Bio:3.0(Raw:3) + ML:0.0(Raw:0)
NFKBIA,4.0,Base:1.0 + Bio:2.0(Raw:2) + ML:1.0(Raw:2)
IFIT5,4.0,Base:1.0 + Bio:2.0(Raw:2) + ML:1.0(Raw:2)
OASL,4.0,Base:1.0 + Bio:2.0(Raw:2) + ML:1.0(Raw:2)
FUT4,4.0,Base:1.0 + Bio:1.0(Raw:1) + ML:2.0(Raw:4)
GADD45B,4.0,Base:1.0 + Bio:1.0(Raw:1) + ML:2.0(Raw:4)
CDC20,4.0,Base:1.0 + Bio:3.0(Raw:3) + ML:0.0(Raw:0)
MPO,4.0,Base:1.0 + Bio:3.0(Raw:3) + ML:0.0(Raw:0)
CTSG,4.0,Base:1.0 + Bio:3.0(Raw:3) + ML:0.0(Raw:0)
DEFA4,4.0,Base:1.0 + Bio:3.0(Raw:3) + ML:0.0(Raw:0)
