Gene,MDG
GPR84,0.032644759958709725
PLEKHA1,0.0233376387130369
SMARCD3,0.02331214764080062
LY6E,0.023277660012383038
IFI27,0.021927953818066274
IFIT1,0.02121250545395503
OAS3,0.021076044591577713
MX1,0.020277091861561704
HERC5,0.01901723654942793
EPSTI1,0.018946343526414527
GADD45B,0.01761181103597644
ISG15,0.015395127449072347
SOCS1,0.015335172091603047
IFI6,0.015069204904598336
HNRNPH1,0.014510980890055062
ABCB1,0.013676695265915112
RNASE2,0.013573101991975037
BATF2,0.013251449419935718
PARP9,0.012990723817686829
OASL,0.01272368758978418
IFI44,0.012422641057374851
RSAD2,0.012136773278575848
REC8,0.011952742309880797
SRSF4,0.011698221242352619
FCGR1BP,0.011462602652877229
BCL11A,0.0105221818153791
IFIT3,0.010193484096416206
TCN2,0.009942255705611266
BST2,0.00882442649665944
USP7,0.00851498139253794
SRRM2,0.008486890117680192
IFITM3,0.0080892407046471
KLHL22,0.007546883091770392
ATF5,0.007320987989301137
IL1RN,0.0073054661087806096
SERPING1,0.00722040071104682
CASP8,0.006997683630901405
IFIH1,0.006669529739482316
FCRL2,0.00657510554393698
NFKBIA,0.00652155299189164
ZNF83,0.00646375704761333
SGSM2,0.006392482779444767
PCYOX1,0.0060719608736971445
ZFP90,0.00596430459716304
MT2A,0.005823075990217232
COMMD4,0.005758173183646058
SPATS2L,0.0057021062264685715
JAK1,0.005640609144677194
IFI27L2,0.005583759759698927
IFI44L,0.005577390754594383
LAMP3,0.005269391493794006
CIRBP,0.005250986518833085
TDRD7,0.004952451403074693
BLOC1S1,0.004699575027159115
PTMS,0.004641931904119491
DDIT3,0.004579730430792021
SPTLC2,0.0045665391217568725
PCED1B-AS1,0.004500028544416655
MYB,0.00436995304832483
TRIP6,0.0042986811506433775
HNRNPDL,0.004258539376643262
IFIT2,0.00419885905622036
CEACAM1,0.004144666178678004
SQOR,0.0039716958489282245
FUT4,0.0039460262473555935
ARG1,0.003929714648865191
EXOSC4,0.0038724722131015772
NAA38,0.003854337239285119
FYN,0.003818305452720205
KLRB1,0.003792387262056201
IFI35,0.003682158951165703
LHFPL2,0.0036358732660509694
EGR1,0.003546623989763052
RBM14,0.003528549729746825
RNF125,0.00348216180159773
WDR59,0.0034776603131359447
YPEL1,0.0033490160544806216
SLC35F6,0.003327152400247026
CD163,0.0032736897983705704
MT1E,0.003260066800156389
PIK3C2B,0.0031888026948564147
ITGAM,0.0031750127044406266
