Gene,Consensus_Score,Selection_Frequency,External_Weight,Weighted_Consensus_Score
IFI27,6,1.0,3.0,18.0
FCGR1BP,6,1.0,2.0,12.0
FUT4,5,0.8333333333333334,2.0,10.0
MX1,5,0.8333333333333334,4.0,20.0
GADD45B,5,0.8333333333333334,2.0,10.0
USP7,5,0.8333333333333334,3.0,15.0
ISG15,5,0.8333333333333334,4.0,20.0
CASP8,5,0.8333333333333334,3.0,15.0
SMARCD3,5,0.8333333333333334,2.0,10.0
RSAD2,4,0.6666666666666666,4.0,16.0
ABCB1,4,0.6666666666666666,1.0,4.0
IFITM3,4,0.6666666666666666,3.0,12.0
HERC5,4,0.6666666666666666,2.0,8.0
EPSTI1,4,0.6666666666666666,1.0,4.0
IFI6,4,0.6666666666666666,3.0,12.0
OAS3,4,0.6666666666666666,4.0,16.0
LAMP3,4,0.6666666666666666,2.0,8.0
LY6E,4,0.6666666666666666,2.0,8.0
SRSF4,4,0.6666666666666666,1.0,4.0
SOCS1,4,0.6666666666666666,2.0,8.0
IFI44,3,0.5,2.0,6.0
REC8,3,0.5,1.0,3.0
OASL,3,0.5,3.0,9.0
JAK1,3,0.5,3.0,9.0
IFIT1,3,0.5,3.0,9.0
GPR84,3,0.5,2.0,6.0
PLEKHA1,3,0.5,2.0,6.0
GSTO1,2,0.3333333333333333,2.0,4.0
SH2D1B,2,0.3333333333333333,2.0,4.0
IFI44L,2,0.3333333333333333,2.0,4.0
IFIH1,2,0.3333333333333333,4.0,8.0
NFKBIA,2,0.3333333333333333,3.0,6.0
IL2RB,2,0.3333333333333333,3.0,6.0
TXNDC17,2,0.3333333333333333,2.0,4.0
LGALS1,2,0.3333333333333333,2.0,4.0
WDR59,2,0.3333333333333333,3.0,6.0
TNFAIP6,2,0.3333333333333333,2.0,4.0
TNFAIP3,2,0.3333333333333333,3.0,6.0
BATF2,2,0.3333333333333333,2.0,4.0
USP18,2,0.3333333333333333,3.0,6.0
IFI27L2,2,0.3333333333333333,1.0,2.0
RNF31,2,0.3333333333333333,2.0,4.0
TLR10,2,0.3333333333333333,2.0,4.0
F12,2,0.3333333333333333,1.0,2.0
FCRL2,2,0.3333333333333333,1.0,2.0
GNG5,2,0.3333333333333333,1.0,2.0
PTMS,2,0.3333333333333333,1.0,2.0
FYN,2,0.3333333333333333,2.0,4.0
IFI35,2,0.3333333333333333,3.0,6.0
MT2A,2,0.3333333333333333,1.0,2.0
PTTG1,2,0.3333333333333333,3.0,6.0
HNRNPDL,2,0.3333333333333333,1.0,2.0
HP,2,0.3333333333333333,2.0,4.0
RNF125,2,0.3333333333333333,2.0,4.0
HNRNPH1,2,0.3333333333333333,1.0,2.0
IRF7,2,0.3333333333333333,4.0,8.0
KLRB1,2,0.3333333333333333,2.0,4.0
RNASE2,2,0.3333333333333333,2.0,4.0
SERPING1,1,0.16666666666666666,3.0,3.0
PARP9,1,0.16666666666666666,2.0,2.0
