kegg¡Ègo¡ÈPPI,Consensus_Score,Union_of_pairwise_intersections,Consensus_Score,kegg¡Égo¡ÉPPI,Consensus_Score
NFKBIA,1,NFKBIA,2,IRF7,3
IL1B,1,IL1B,2,EIF2AK2,3
JAK1,1,JAK1,2,OAS1,3
CASP8,1,CASP8,2,OAS2,3
MYD88,1,MYD88,2,OAS3,3
HLA-DPA1,1,HLA-DPA1,2,IFIH1,3
HLA-DPB1,1,HLA-DPB1,2,CAMP,3
HLA-DRA,1,HLA-DRA,2,MX1,3
TLR2,1,TLR2,2,CDC20,3
IRF7,1,JAK2,2,DEFA4,3
IRF9,1,RIGI,2,ELANE,3
JAK2,1,ITGAM,2,ISG15,3
RIGI,1,CD14,2,CTSG,3
ITGAM,1,CDKN1A,2,MPO,3
CD14,1,C1QB,2,RSAD2,3
CDKN1A,1,C1QC,2,,
EIF2AK2,1,CXCL10,2,,
C1QB,1,EP300,2,,
C1QC,1,ADAR,2,,
CXCL10,1,CD247,2,,
EP300,1,CD28,2,,
OAS1,1,HDAC1,2,,
OAS2,1,IL2RB,2,,
OAS3,1,LY96,2,,
IFIH1,1,C3AR1,2,,
ADAR,1,GADD45A,2,,
CD247,1,LTBR,2,,
CD28,1,TNFAIP3,2,,
CDKN1B,1,CFD,2,,
HDAC1,1,GATA3,2,,
IL2RB,1,H2BC4,2,,
LY96,1,H2BC6,2,,
C3AR1,1,RELB,2,,
CAMP,1,STAT4,2,,
GADD45A,1,TLR5,2,,
GADD45B,1,TRIM25,2,,
LTBR,1,AIM2,2,,
MX1,1,FOXO1,2,,
MX2,1,FPR1,2,,
TNFAIP3,1,GP1BA,2,,
CDC20,1,MEFV,2,,
CFD,1,SERPING1,2,,
DEFA4,1,SP100,2,,
ELANE,1,TNFSF13B,2,,
GATA3,1,USP7,2,,
H2BC4,1,IRF9,2,,
H2BC5,1,MX2,2,,
H2BC6,1,CCNB2,2,,
ISG15,1,PTTG1,2,,
RELB,1,RPS27A,2,,
STAT4,1,LTF,2,,
TLR5,1,AZU1,2,,
TRIM25,1,RPS3,2,,
AIM2,1,BPI,2,,
ANAPC16,1,DHX58,2,,
CCNB2,1,IFITM1,2,,
CTSG,1,IFITM3,2,,
FOXO1,1,OASL,2,,
