Gene,Final_Weight,Calculation_Details
MX1,4.0,Base:1.0 + Bio:3.0(Raw:3)
ISG15,4.0,Base:1.0 + Bio:3.0(Raw:3)
CTSG,4.0,Base:1.0 + Bio:3.0(Raw:3)
OAS3,4.0,Base:1.0 + Bio:3.0(Raw:3)
CAMP,4.0,Base:1.0 + Bio:3.0(Raw:3)
CDC20,4.0,Base:1.0 + Bio:3.0(Raw:3)
MPO,4.0,Base:1.0 + Bio:3.0(Raw:3)
EIF2AK2,4.0,Base:1.0 + Bio:3.0(Raw:3)
OAS2,4.0,Base:1.0 + Bio:3.0(Raw:3)
IFIH1,4.0,Base:1.0 + Bio:3.0(Raw:3)
DEFA4,4.0,Base:1.0 + Bio:3.0(Raw:3)
ELANE,4.0,Base:1.0 + Bio:3.0(Raw:3)
RSAD2,4.0,Base:1.0 + Bio:3.0(Raw:3)
IRF7,4.0,Base:1.0 + Bio:3.0(Raw:3)
OAS1,4.0,Base:1.0 + Bio:3.0(Raw:3)
FPR1,3.0,Base:1.0 + Bio:2.0(Raw:2)
GP1BA,3.0,Base:1.0 + Bio:2.0(Raw:2)
MEFV,3.0,Base:1.0 + Bio:2.0(Raw:2)
CASP8,3.0,Base:1.0 + Bio:2.0(Raw:2)
IFI35,3.0,Base:1.0 + Bio:2.0(Raw:2)
USP7,3.0,Base:1.0 + Bio:2.0(Raw:2)
TNFAIP3,3.0,Base:1.0 + Bio:2.0(Raw:2)
FOXO1,3.0,Base:1.0 + Bio:2.0(Raw:2)
CCNB2,3.0,Base:1.0 + Bio:2.0(Raw:2)
AIM2,3.0,Base:1.0 + Bio:2.0(Raw:2)
TRIM25,3.0,Base:1.0 + Bio:2.0(Raw:2)
TLR5,3.0,Base:1.0 + Bio:2.0(Raw:2)
STAT4,3.0,Base:1.0 + Bio:2.0(Raw:2)
MX2,3.0,Base:1.0 + Bio:2.0(Raw:2)
LTBR,3.0,Base:1.0 + Bio:2.0(Raw:2)
GADD45A,3.0,Base:1.0 + Bio:2.0(Raw:2)
C3AR1,3.0,Base:1.0 + Bio:2.0(Raw:2)
HDAC1,3.0,Base:1.0 + Bio:2.0(Raw:2)
LY96,3.0,Base:1.0 + Bio:2.0(Raw:2)
RPS27A,3.0,Base:1.0 + Bio:2.0(Raw:2)
SP100,3.0,Base:1.0 + Bio:2.0(Raw:2)
HLA-DRA,3.0,Base:1.0 + Bio:2.0(Raw:2)
TLR2,3.0,Base:1.0 + Bio:2.0(Raw:2)
IRF9,3.0,Base:1.0 + Bio:2.0(Raw:2)
JAK2,3.0,Base:1.0 + Bio:2.0(Raw:2)
RIGI,3.0,Base:1.0 + Bio:2.0(Raw:2)
GATA3,3.0,Base:1.0 + Bio:2.0(Raw:2)
RPL13A,3.0,Base:1.0 + Bio:2.0(Raw:2)
CFD,3.0,Base:1.0 + Bio:2.0(Raw:2)
C1QB,3.0,Base:1.0 + Bio:2.0(Raw:2)
CDKN1A,3.0,Base:1.0 + Bio:2.0(Raw:2)
CD14,3.0,Base:1.0 + Bio:2.0(Raw:2)
C1QC,3.0,Base:1.0 + Bio:2.0(Raw:2)
OASL,3.0,Base:1.0 + Bio:2.0(Raw:2)
CXCL10,3.0,Base:1.0 + Bio:2.0(Raw:2)
IFIT5,3.0,Base:1.0 + Bio:2.0(Raw:2)
NFKBIA,3.0,Base:1.0 + Bio:2.0(Raw:2)
ADAR,3.0,Base:1.0 + Bio:2.0(Raw:2)
EP300,3.0,Base:1.0 + Bio:2.0(Raw:2)
CD28,3.0,Base:1.0 + Bio:2.0(Raw:2)
CD247,3.0,Base:1.0 + Bio:2.0(Raw:2)
MYD88,3.0,Base:1.0 + Bio:2.0(Raw:2)
H2BC4,3.0,Base:1.0 + Bio:2.0(Raw:2)
H2BC6,3.0,Base:1.0 + Bio:2.0(Raw:2)
RELB,3.0,Base:1.0 + Bio:2.0(Raw:2)
NPRL3,3.0,Base:1.0 + Bio:2.0(Raw:2)
HLA-DPB1,3.0,Base:1.0 + Bio:2.0(Raw:2)
HLA-DPA1,3.0,Base:1.0 + Bio:2.0(Raw:2)
CEACAM8,3.0,Base:1.0 + Bio:2.0(Raw:2)
RPS3,3.0,Base:1.0 + Bio:2.0(Raw:2)
JAK1,3.0,Base:1.0 + Bio:2.0(Raw:2)
AZU1,3.0,Base:1.0 + Bio:2.0(Raw:2)
